Jaculus jaculus,Jaculus,jaculus,NHMUK,79.2181,Jac_jac_NHM_792181_skull_1881_1759_1313_00185607.resampled.lmk
Jaculus jaculus,Jaculus,jaculus,NHMUK,95.34,Jac_Jac_NHM_95340_skull_1446_1450_2058_0017898.resampled.lmk
Kannabateomys amblyonyx,Kannabateomys,amblyonyx,NHMUK,9.11.19.28,Kan_amb_NHM_9_11_19_28_skull_1447_1530_2534_0023985.resampled.lmk
Kerodon rupestris,Kerodon,rupestris,CBUN,CSB2022-001,Ker_sp_CSB_2022_001_skull_1263_1259_2610_00292554.resampled.lmk
Lagostomus maximus,Lagostomus,maximus,NHMUK,1970.25,Lag_max_KHM_1970250_skull_1472_1396_2430_00444714.resampled.lmk
Laonastes aenigmamus,Laonastes,aenigmamus,UM,TK07-06,Laonastes.lmk
Lemmus lemmus,Lemmus,lemmus,NHMUK,2022.23,Lemmus_NHM_2022_23_skull.lmk
Lemmus sibiricus,Lemmus,sibiricus,NHMUK,1976.587,Lemmus_sibericus_NHMUK_1976_587_skull(2).lmk
Lenothrix canus,Lenothrix,canus,EBD,BOR036,LENcan_EDBBOR306_1758_1758_3047_005652(2).lmk
Leopoldamys sabanus,Leopoldamys,sabanus,EBD,BOR031,Leo_sab_BOR31_skull_2503_1759_1759_00238027.resampled.lmk
Leptomys ernstmayri,Leptomys,ernstmayri,CBUN,FR2200-033,Leptomys_FR2200_033_skull_1451_1343_3023_0012392.resampled.lmk
Lophiomys imhausi,Lophiomys,imhausi,NHMUK,unreg,Lop_imh_BMNH_unreg_skull_1568_1571_2257_00300648.resampled.lmk
Lophuromys sikapusi,Lophuromys,sikapusi,MNHN-ZM-MO,2013-236,Lophuromys_MNHN_2013_236_skull_1565_1423_3253_00103071.resampled.lmk
Lorentzimys nouhuysi,Lorentzimys,nouhuysi,CBUN,MW-2700-064,Lorentzimys_MW2700064_skull_1303_1188_2202_00101586.resampled.lmk
Macrotarsomys ingens,Macrotarsomys,ingens,FMNH,161601,Macrotarsomys_ingens_FMNH_161601_skull_2542_1599_1636_00153859.resampled.lmk
Macruromys major,Macruromys,major,CBUN,FR1200-029,MACspce_FR1200029.lmk
Makalata didelphoides,Makalata,didelphoides,UM,V36-40,Mak_did_V3640_skull_1190_1301_2410_00239942.resampled.lmk
Malacomys longipes,Malacomys,longipes,MNHN-ZM-MO,1991-126,Malacomys_1992_126_skull_1391_1396_2989_00137898.resampled.lmk
Malacomys longipes,Malacomys,longipes,MNHN-ZM-MO,1991-136,Ma_lon_MNHN_54_skull_1248_1238_2799_00157273.resampled.lmk
Malacothrix typica,Malacothrix,typica,NHMUK,1898.2.3.5,Mal_NHMUK_1898_235_skull_1495_1504_2167_00119029.resampled.lmk
Massoutiera mzabi,Massoutiera,mzabi,NHMUK,19.7.7.2880,Massoutiera_mzabi_NHM_19_7_7_2880_skull_1635_1256_2522_00191097.resampled.lmk
Mastacomys fuscus,Mastacomys,fuscus,MV,C9999,Mas_fus_VMC9999_skull_1759_1759_3198_00178666.resampled.lmk
Mastomys natalensis,Mastomys,natalensis,MNHN-ZM-MO,1993-166,Mas_nat_MNHN_1993_166_skull_1468_1486_2930_00118662.resampled.lmk
Mastomys natalensis,Mastomys,natalensis,MNHN-ZM-MO,1993-168,Mastomys_natalensis_MNHN_1993_168_skull_1681_1686_3620_00093846.resampled.lmk
Maxomys alticola,Maxomys,alticola,EBD,BOR200,Maxomys_altic_BOR200_skull_1484_1439_3161_00125519.resampled.lmk
Melomys sp,Melomys,sp,CBUN,FR200-022,Melomys_spce_FR200_022_skull_1574_1585_3036_00117477.resampled.lmk
Meriones shawi,Meriones,shawi,MNHN-ZM-MO,CG1993-2269,MERsha_MNHN_1993_2269.lmk
Mesocricetus auratus,Mesocricetus,auratus,NHMUK,1992.42,Mesocricetus_auraus_NHM_1992_42.lmk
Mesomys hispidus,Mesomys,hispidus,JAGUARS,M1281,Mes_his_M1281_skull_1816_943_953_00239796.resampled.lmk
Microcavia australis,Microcavia,australis,NHMUK,1992.483,Mic_aus_NHM1992_483_skull_1379_1442_2123_00240095.resampled.lmk
Microtus sp.,Microtus,sp.,MB,2018-34-15,Microtus_sp_MB902_20183415_skull.resampled.lmk
Millardia meltada,Millardia,meltada,MNHN-ZM-MO,2009-658,Millardia_meltada_2009_658_skull_1574_1469_2966_00122264.resampled.lmk
Monticolomys koopmani,Monticolomys,koopmani,FMNH,161703,MONkoop_FMNH161703.lmk
Mus crociduroides,Mus,crociduroides,LSUMZ,39556 (HH1430),Mus_cro_HH1430_skull_1597_1556_2586_00119108.resampled.lmk
Muscardinus avellanarius,Muscardinus,avellanarius,NHMUK,1977.856,Mus_cardinus_NHM_77856_skull_2488_1551_1328_000997011.lmk
Myocastor coypus,Myocastor,coypus,UM-ZOOL,3111/QM1150,Myo_cop_QM1150_skull_1497_1306_2152_00557363.resampled.lmk
Myodes sp.,Myodes,sp.,NHMUK,1856-7-9-9-15a,MYOsp_NHM189679915a.lmk
Myodes sp.,Myodes,sp.,NHMUK,1856-7-9-9-15b,MYOsp_NHMUK1856799915b.lmk
Myosciurus pumilio,Myosciurus,pumilio,NHMUK,1948.974,MYOpum_NHMUK_cranium.lmk
Exilisciurus exilis,Exilisciurus,exilis,NHMUK,1892.6.1.10,NANexi_NHMUK_92-6-1-10_skull(2).lmk
Nannosciurus melanotis,Nannosciurus,melanotis,NHMUK,2022.21,Nan_mel_NHMUK_2022-21_skull(2).lmk
Nannospalax leucodon,Nannospalax,leucodon,NHMUK,1986.1781,Nannospalax_leucodon_NHM_1986_1781_skull_1674_1469_2216_00178171.resampled.lmk
Neacomys paracou,Neacomys,paracou,JAGUARS,M1674,NEApar_JAG_M1674.lmk
Nectomys rattus,Nectomys,rattus,JAGUARS,V3614,NECratt_JAGUARSV3614.lmk
Neotoma lepida,Neotoma,lepida,UWBM,37681,Neotoma_lepida_UNBM57681_skull_1016_981_1979_00196542.resampled.lmk
Nesokia indica,Nesokia,indica,NHMUK,1909.7.1.82.84,NESindi_NHMUK18301835.lmk
Nesomys rufus,Nesomys,rufus,FMNH,173271,Nesomys_rufus_FMNH_173271_skull_3369_1759_1759_0017874.resampled.lmk
Nothocricetulus migratorius,Nothocricetulus,migratorius,NHMUK,1880.4.9.11,Cricetulus_NHM_18804911_skull_1255_1351_2298_00123916.resampled.lmk
Nothocricetulus migratorius,Nothocricetulus,migratorius,NHMUK,1880.4.9.10,Nothocricetulus_migratorius_NHMUK_1880_4910_skull.lmk
Notomys alexis,Notomys,alexis,MV,31400,Notomys_alexis_31400_skull_1236_1220_2485_00124789.resampled.lmk
Octodon degus,Octodon,degus,UM,506V,Octodon_UM_506_skull_2081_1759_1759_00178681.resampled.lmk
Oecomys auyantepui,Oecomys,auyantepui,JAGUARS,M2029,OECauy_JAG_M2029.lmk
Oecomys rutilus,Oecomys,rutilus,UM,V3625,Oecomys_rutilus_V3625_skull_2588_1758_1758_00119072.resampled.lmk
