"","mass","length","pcsa","lsr_mass","lsr_length","lsr_pcsa"
"Monticolomys koopmani FMNH 161703",0.0072,0.4302916667,0.0157856945784739,-0.927419507573762,0.211180342661688,-1.13055248161765
"Mus crociduroides LSUMZ 39557",0.0081,0.4382,0.0174384058283027,-0.633775255968981,0.154999001555236,-0.778883950444004
"Mus crociduroides LSUMZ 39556 (HH1430)",0.0086,0.3961764706,0.0204787718333765,-0.746086784069944,0.000126580296112659,-0.741021428458408
"Muscardinus avellanarius NHM 1977.856",0.0089,0.35805,0.0234498712891896,-0.571799776601699,0.21517119244651,-0.766617972523585
"Myocastor coypus QM 1150",3.48,1.1178,2.93703602426599,-0.243532128153894,0.0431836619126067,-0.241372244040994
"Myodes sp. NHM 1856-7-9-9-15b",0.0341,0.4110714286,0.07825844630048,-0.131405062517965,0.150847971274682,-0.286724321471107
"Myodes sp. NHM 1856-7-9-9-15a",0.0503,0.4756025641,0.0997741260677935,-0.204981192970838,0.102239872725353,-0.310260557173628
"Myosciurus pumilio NHM 1948.974",0.0053,0.5457368421,0.00916192496874493,-0.849239413999645,0.436223064678285,-1.29252673295938
"Nannosciurus exilis tetectus NHM 1892.6.1.10",0.0045,0.3569333333,0.011893770132418,-1.28682546325142,-0.0479640450703354,-1.2183918485996
"Nannosciurus melanotis NHM 2022.21",0.0039,0.45134375,0.00815175857208362,-1.10007985563493,0.308885683166941,-1.3800938740474
"Nannospalax leucodon NHMUK 1986.1781",0.0703,1.195058824,0.0554958077251778,-0.731863267008518,0.557573290826616,-1.28277758937248
"Neacomys paracou JAGUARS M1674",0.0033,0.188875,0.0164828989922955,-0.690920731191523,-0.118150703695472,-0.589561523890512
"Nectomys rattus JAGUARS V3614",0.0449,0.6382666667,0.0663648797218909,-0.968726106945898,0.346528788286636,-1.2867356442086
"Neotoma lepida UWBM 37681",0.0253,0.4576785714,0.0521499716608797,-0.800225257491227,0.232955706913072,-1.03918873049585
"Nesokia indica NHM 1909.7.1.82.84",0.0945,0.919,0.0970086435214651,-1.07345906103519,0.188826014519974,-1.25138669851556
"Nesomys rufus FMNH 173271",0.0421,0.438047619,0.0906681817441301,-0.863102657010213,-0.0795576194183158,-0.753174303727847
"Nothocricetulus migratorius NHM 1880.4.9.11",0.0107,0.3272909091,0.0308421020626555,-0.815519006325984,-0.0185451868666278,-0.769148368870321
"Notomys alexis MV 31400",0.009,0.3415517241,0.0248588001132442,-0.904320082034795,0.121646666594461,-1.03124964531903
"Octodon degus UM 506V",0.0388,0.6299459459,0.0581062134348846,-0.391002448410216,0.343526247937202,-0.7028480503067
"Oecomys auyantepui JAGUARS M2029",0.0128,0.4359375,0.027700006762697,-0.629995106689074,0.257724936119686,-0.873588764930827
